xmin,ymin,xmax,ymax,label,score,geometry,area,x,y
0.60373807,561.473,12.910257,597.3786,Tree,0.2884881,"POLYGON ((12.910257339477539 561.4730224609375, 12.910257339477539 597.3786010742188, 0.6037380695343018 597.3786010742188, 0.6037380695343018 561.4730224609375, 12.910257339477539 561.4730224609375))",441.8727,6.756998,579.4258
445.6936,534.63806,530.746,599.6273,Tree,0.14712127,"POLYGON ((530.7459716796875 534.6380615234375, 530.7459716796875 599.6273193359375, 445.693603515625 599.6273193359375, 445.693603515625 534.6380615234375, 530.7459716796875 534.6380615234375))",5527.49,488.2198,567.1327
180.79219,572.01434,246.60712,600.0,Tree,0.14486827,"POLYGON ((246.60711669921875 572.0143432617188, 246.60711669921875 600, 180.7921905517578 600, 180.7921905517578 572.0143432617188, 246.60711669921875 572.0143432617188))",1841.8739,213.69965,586.0072
