xmin,ymin,xmax,ymax,label,score,geometry,area,x,y
167.67737,190.64505,251.67389,263.2602,Tree,0.6129786,"POLYGON ((251.67388916015625 190.64505004882812, 251.67388916015625 263.26019287109375, 167.6773681640625 263.26019287109375, 167.6773681640625 190.64505004882812, 251.67388916015625 190.64505004882812))",6099.4194,209.67563,226.95262
267.355,210.90907,364.74567,302.84576,Tree,0.58322895,"POLYGON ((364.74566650390625 210.90907287597656, 364.74566650390625 302.84576416015625, 267.3550109863281 302.84576416015625, 267.3550109863281 210.90907287597656, 364.74566650390625 210.90907287597656))",8953.774,316.05035,256.8774
246.55713,134.73523,293.97147,185.33298,Tree,0.55487084,"POLYGON ((293.9714660644531 134.7352294921875, 293.9714660644531 185.33297729492188, 246.55712890625 185.33297729492188, 246.55712890625 134.7352294921875, 293.9714660644531 134.7352294921875))",2399.0586,270.26428,160.0341
284.62396,0.0,328.73608,30.216208,Tree,0.4790954,"POLYGON ((328.736083984375 0, 328.736083984375 30.21620750427246, 284.62396240234375 30.21620750427246, 284.62396240234375 0, 328.736083984375 0))",1332.901,306.68002,15.108104
266.10156,70.27536,314.34952,119.63565,Tree,0.47514668,"POLYGON ((314.3495178222656 70.27536010742188, 314.3495178222656 119.63565063476562, 266.1015625 119.63565063476562, 266.1015625 70.27536010742188, 314.3495178222656 70.27536010742188))",2381.5332,290.22552,94.955505
442.07703,385.2139,530.45746,468.61935,Tree,0.45360172,"POLYGON ((530.4574584960938 385.2138977050781, 530.4574584960938 468.6193542480469, 442.0770263671875 468.6193542480469, 442.0770263671875 385.2138977050781, 530.4574584960938 385.2138977050781))",7371.41,486.26724,426.91663
181.57759,148.477,229.73895,191.73543,Tree,0.31115925,"POLYGON ((229.73895263671875 148.4770050048828, 229.73895263671875 191.7354278564453, 181.5775909423828 191.7354278564453, 181.5775909423828 148.4770050048828, 229.73895263671875 148.4770050048828))",2083.3845,205.65826,170.10622
527.51215,0.0,575.04846,11.500988,Tree,0.23710409,"POLYGON ((575.0484619140625 0, 575.0484619140625 11.500988006591797, 527.5121459960938 11.500988006591797, 527.5121459960938 0, 575.0484619140625 0))",546.7146,551.2803,5.750494
326.8033,44.59828,356.61362,71.26247,Tree,0.22544143,"POLYGON ((356.6136169433594 44.59828186035156, 356.6136169433594 71.26246643066406, 326.8033142089844 71.26246643066406, 326.8033142089844 44.59828186035156, 356.6136169433594 44.59828186035156))",794.86743,341.70847,57.930374
213.0873,0.22223282,273.33936,30.622736,Tree,0.21971406,"POLYGON ((273.33935546875 0.2222328186035156, 273.33935546875 30.62273597717285, 213.08729553222656 30.62273597717285, 213.08729553222656 0.2222328186035156, 273.33935546875 0.2222328186035156))",1831.693,243.21332,15.422484
588.1566,71.234604,600.0,118.508896,Tree,0.21937104,"POLYGON ((600 71.23460388183594, 600 118.50889587402344, 588.1566162109375 118.50889587402344, 588.1566162109375 71.23460388183594, 600 71.23460388183594))",559.8876,594.0783,94.87175
0.0,533.7447,25.19478,585.82007,Tree,0.20862849,"POLYGON ((25.194780349731445 533.7446899414062, 25.194780349731445 585.820068359375, 0 585.820068359375, 0 533.7446899414062, 25.194780349731445 533.7446899414062))",1312.0277,12.59739,559.78235
74.25017,0.8953371,179.29517,69.935745,Tree,0.18003848,"POLYGON ((179.295166015625 0.8953371047973633, 179.295166015625 69.93574523925781, 74.25016784667969 69.93574523925781, 74.25016784667969 0.8953371047973633, 179.295166015625 0.8953371047973633))",7252.349,126.77267,35.41554
515.13806,472.94257,554.7775,514.5972,Tree,0.17386222,"POLYGON ((554.7775268554688 472.94256591796875, 554.7775268554688 514.5972290039062, 515.1380615234375 514.5972290039062, 515.1380615234375 472.94256591796875, 554.7775268554688 472.94256591796875))",1651.1686,534.95776,493.7699
486.72986,477.721,510.54227,503.0448,Tree,0.15217409,"POLYGON ((510.5422668457031 477.72100830078125, 510.5422668457031 503.0447998046875, 486.7298583984375 503.0447998046875, 486.7298583984375 477.72100830078125, 510.5422668457031 477.72100830078125))",603.02045,498.63605,490.3829
186.77475,0.0,220.82497,11.589137,Tree,0.14955603,"POLYGON ((220.82496643066406 0, 220.82496643066406 11.589137077331543, 186.77474975585938 11.589137077331543, 186.77474975585938 0, 220.82496643066406 0))",394.61264,203.79987,5.7945685
205.0366,52.086193,250.30646,97.69658,Tree,0.14751908,"POLYGON ((250.30645751953125 52.0861930847168, 250.30645751953125 97.69657897949219, 205.03660583496094 97.69657897949219, 205.03660583496094 52.0861930847168, 250.30645751953125 52.0861930847168))",2064.7754,227.67154,74.89139
541.0209,355.18387,598.228,431.06616,Tree,0.13546129,"POLYGON ((598.22802734375 355.1838684082031, 598.22802734375 431.066162109375, 541.0208740234375 431.066162109375, 541.0208740234375 355.1838684082031, 598.22802734375 355.1838684082031))",4341.0103,569.62445,393.125
3.9840574,589.5893,57.372425,599.4425,Tree,0.115068525,"POLYGON ((57.3724250793457 589.5892944335938, 57.3724250793457 599.4425048828125, 3.9840574264526367 599.4425048828125, 3.9840574264526367 589.5892944335938, 57.3724250793457 589.5892944335938))",526.0468,30.678242,594.51587
