xmin,ymin,xmax,ymax,label,score,geometry,area,x,y
234.48688,0.0,295.73822,41.650337,Tree,0.5390081,"POLYGON ((295.73822021484375 0, 295.73822021484375 41.65033721923828, 234.48687744140625 41.65033721923828, 234.48687744140625 0, 295.73822021484375 0))",2551.1392,265.11255,20.825169
25.77011,0.0,59.78402,12.409828,Tree,0.3985167,"POLYGON ((59.784019470214844 0, 59.784019470214844 12.409828186035156, 25.770109176635742 12.409828186035156, 25.770109176635742 0, 59.784019470214844 0))",422.10675,42.77706,6.204914
0.0,1.1872916,12.926504,37.15725,Tree,0.37043524,"POLYGON ((12.926504135131836 1.1872916221618652, 12.926504135131836 37.157249450683594, 0 37.157249450683594, 0 1.1872916221618652, 12.926504135131836 1.1872916221618652))",464.96582,6.463252,19.172272
0.0,357.24597,13.960816,398.77173,Tree,0.2841432,"POLYGON ((13.960816383361816 357.2459716796875, 13.960816383361816 398.771728515625, 0 398.771728515625, 0 357.2459716796875, 13.960816383361816 357.2459716796875))",579.73346,6.980408,378.00885
199.16528,541.8616,272.78937,599.6407,Tree,0.25237387,"POLYGON ((272.78936767578125 541.861572265625, 272.78936767578125 599.6406860351562, 199.165283203125 599.6406860351562, 199.165283203125 541.861572265625, 272.78936767578125 541.861572265625))",4253.9346,235.97733,570.7511
93.79453,514.7361,179.07285,594.3951,Tree,0.18220015,"POLYGON ((179.07284545898438 514.736083984375, 179.07284545898438 594.3950805664062, 93.7945327758789 594.3950805664062, 93.7945327758789 514.736083984375, 179.07284545898438 514.736083984375))",6793.185,136.43369,554.56555
0.0,36.75244,10.067095,82.76005,Tree,0.16438133,"POLYGON ((10.067094802856445 36.75244140625, 10.067094802856445 82.76004791259766, 0 82.76004791259766, 0 36.75244140625, 10.067094802856445 36.75244140625))",463.16293,5.0335474,59.756245
195.38997,0.0,223.13795,11.703615,Tree,0.13223039,"POLYGON ((223.13795471191406 0, 223.13795471191406 11.703615188598633, 195.3899688720703 11.703615188598633, 195.3899688720703 0, 223.13795471191406 0))",324.75174,209.26396,5.8518076
