xmin,ymin,xmax,ymax,label,score,geometry,area,x,y
93.27296,425.62894,174.82089,516.8845,Tree,0.16127063,"POLYGON ((174.82089233398438 425.6289367675781, 174.82089233398438 516.884521484375, 93.27295684814453 516.884521484375, 93.27295684814453 425.6289367675781, 174.82089233398438 425.6289367675781))",7441.7046,134.04692,471.2567
333.174,86.77476,471.63507,239.44669,Tree,0.14633636,"POLYGON ((471.63507080078125 86.7747573852539, 471.63507080078125 239.44668579101562, 333.17401123046875 239.44668579101562, 333.17401123046875 86.7747573852539, 471.63507080078125 86.7747573852539))",21139.117,402.40454,163.11072
304.24872,494.65997,387.79272,580.91235,Tree,0.1157468,"POLYGON ((387.792724609375 494.65997314453125, 387.792724609375 580.912353515625, 304.24871826171875 580.912353515625, 304.24871826171875 494.65997314453125, 387.792724609375 494.65997314453125))",7205.8696,346.02072,537.78613
0.0,73.29672,23.670254,130.42896,Tree,0.10210696,"POLYGON ((23.67025375366211 73.29672241210938, 23.67025375366211 130.428955078125, 0 130.428955078125, 0 73.29672241210938, 23.67025375366211 73.29672241210938))",1352.3345,11.835127,101.86284
