xmin,ymin,xmax,ymax,label,score,geometry,area,x,y
0.0,0.0,27.586277,12.299696,Tree,0.17717405,"POLYGON ((27.58627700805664 0, 27.58627700805664 12.29969596862793, 0 12.29969596862793, 0 0, 27.58627700805664 0))",339.30283,13.7931385,6.149848
0.0,587.2093,39.780834,599.77356,Tree,0.16562563,"POLYGON ((39.78083419799805 587.2092895507812, 39.78083419799805 599.7735595703125, 0 599.7735595703125, 0 587.2092895507812, 39.78083419799805 587.2092895507812))",499.81714,19.890417,593.49146
198.95032,527.6621,220.87532,552.0609,Tree,0.15685987,"POLYGON ((220.8753204345703 527.662109375, 220.8753204345703 552.0609130859375, 198.9503173828125 552.0609130859375, 198.9503173828125 527.662109375, 220.8753204345703 527.662109375))",534.94385,209.91281,539.8615
211.01555,587.70154,257.29584,599.8595,Tree,0.14170697,"POLYGON ((257.29583740234375 587.7015380859375, 257.29583740234375 599.8594970703125, 211.0155487060547 599.8594970703125, 211.0155487060547 587.7015380859375, 257.29583740234375 587.7015380859375))",562.6738,234.1557,593.7805
211.95854,0.0,241.89034,10.56842,Tree,0.13659796,"POLYGON ((241.8903350830078 0, 241.8903350830078 10.56842041015625, 211.9585418701172 10.56842041015625, 211.9585418701172 0, 241.8903350830078 0))",316.3318,226.92444,5.28421
0.09070766,366.46814,11.509777,414.02588,Tree,0.13631856,"POLYGON ((11.509777069091797 366.4681396484375, 11.509777069091797 414.02587890625, 0.0907076597213745 414.02587890625, 0.0907076597213745 366.4681396484375, 11.509777069091797 366.4681396484375))",543.0651,5.8002424,390.247
139.4804,587.86426,173.83586,599.6361,Tree,0.12555176,"POLYGON ((173.8358612060547 587.8642578125, 173.8358612060547 599.6361083984375, 139.4803924560547 599.6361083984375, 139.4803924560547 587.8642578125, 173.8358612060547 587.8642578125))",404.42746,156.65813,593.7502
165.91016,484.2599,192.69781,507.51172,Tree,0.104801886,"POLYGON ((192.69781494140625 484.2598876953125, 192.69781494140625 507.51171875, 165.91015625 507.51171875, 165.91015625 484.2598876953125, 192.69781494140625 484.2598876953125))",622.8621,179.30399,495.8858
