xmin,ymin,xmax,ymax,label,score,geometry,area,x,y
0.3251928,562.4829,10.872047,596.82666,Tree,0.17404267,"POLYGON ((10.872047424316406 562.48291015625, 10.872047424316406 596.82666015625, 0.3251928091049194 596.82666015625, 0.3251928091049194 562.48291015625, 10.872047424316406 562.48291015625))",362.21854,5.5986204,579.6548
591.1251,420.76178,599.97314,454.93915,Tree,0.11612433,"POLYGON ((599.97314453125 420.76177978515625, 599.97314453125 454.93914794921875, 591.1251220703125 454.93914794921875, 591.1251220703125 420.76177978515625, 599.97314453125 420.76177978515625))",302.40213,595.54913,437.85046
394.8921,576.3448,449.98657,600.0,Tree,0.11011149,"POLYGON ((449.986572265625 576.3447875976562, 449.986572265625 600, 394.89208984375 600, 394.89208984375 576.3447875976562, 449.986572265625 576.3447875976562))",1303.2717,422.43933,588.17236
