xmin,ymin,xmax,ymax,label,score,geometry,area,x,y
56.39145,101.7312,147.05841,185.63922,Tree,0.41190127,"POLYGON ((147.05841064453125 101.731201171875, 147.05841064453125 185.63922119140625, 56.391448974609375 185.63922119140625, 56.391448974609375 101.731201171875, 147.05841064453125 101.731201171875))",7607.685,101.72493,143.68521
120.42032,46.75119,169.56477,99.215485,Tree,0.3421503,"POLYGON ((169.5647735595703 46.751190185546875, 169.5647735595703 99.21548461914062, 120.42031860351562 99.21548461914062, 120.42031860351562 46.751190185546875, 169.5647735595703 46.751190185546875))",2578.329,144.99255,72.98334
173.27658,90.14307,272.32593,182.93356,Tree,0.23927638,"POLYGON ((272.325927734375 90.14306640625, 272.325927734375 182.93356323242188, 173.27658081054688 182.93356323242188, 173.27658081054688 90.14306640625, 272.325927734375 90.14306640625))",9190.838,222.80125,136.53831
345.89185,500.30814,394.01233,550.5793,Tree,0.21273687,"POLYGON ((394.0123291015625 500.3081359863281, 394.0123291015625 550.5792846679688, 345.891845703125 550.5792846679688, 345.891845703125 500.3081359863281, 394.0123291015625 500.3081359863281))",2419.072,369.9521,525.4437
0.0,0.0,31.414026,38.002167,Tree,0.206095,"POLYGON ((31.414026260375977 0, 31.414026260375977 38.002166748046875, 0 38.002166748046875, 0 0, 31.414026260375977 0))",1193.801,15.707013,19.001083
3.6281304,102.18542,49.70809,158.56647,Tree,0.14613427,"POLYGON ((49.708091735839844 102.18541717529297, 49.708091735839844 158.56646728515625, 3.6281304359436035 158.56646728515625, 3.6281304359436035 102.18541717529297, 49.708091735839844 102.18541717529297))",2598.0366,26.66811,130.37595
58.113647,569.48706,135.51804,599.6527,Tree,0.12064748,"POLYGON ((135.51803588867188 569.487060546875, 135.51803588867188 599.6527099609375, 58.1136474609375 599.6527099609375, 58.1136474609375 569.487060546875, 135.51803588867188 569.487060546875))",2334.9536,96.81584,584.5699
