xmin,ymin,xmax,ymax,label,score,geometry,area,x,y
544.58813,514.2951,585.62427,546.12067,Tree,0.3097558,"POLYGON ((585.624267578125 514.2951049804688, 585.624267578125 546.1206665039062, 544.588134765625 546.1206665039062, 544.588134765625 514.2951049804688, 585.624267578125 514.2951049804688))",1305.9979,565.1062,530.2079
46.20317,363.43045,65.631004,384.4031,Tree,0.2444877,"POLYGON ((65.6310043334961 363.4304504394531, 65.6310043334961 384.4031066894531, 46.20317077636719 384.4031066894531, 46.20317077636719 363.4304504394531, 65.6310043334961 363.4304504394531))",407.45328,55.917088,373.91678
0.2533139,329.38806,10.141153,366.1779,Tree,0.15164225,"POLYGON ((10.141153335571289 329.3880615234375, 10.141153335571289 366.1778869628906, 0.2533138990402222 366.1778869628906, 0.2533138990402222 329.3880615234375, 10.141153335571289 329.3880615234375))",363.77188,5.1972337,347.78296
590.23157,565.0281,599.4553,597.92664,Tree,0.15134622,"POLYGON ((599.455322265625 565.028076171875, 599.455322265625 597.9266357421875, 590.2315673828125 597.9266357421875, 590.2315673828125 565.028076171875, 599.455322265625 565.028076171875))",303.44824,594.84344,581.47736
487.56262,508.31763,511.60263,534.52844,Tree,0.14547187,"POLYGON ((511.6026306152344 508.317626953125, 511.6026306152344 534.5284423828125, 487.5626220703125 534.5284423828125, 487.5626220703125 508.317626953125, 511.6026306152344 508.317626953125))",630.1082,499.58264,521.42303
