xmin,ymin,xmax,ymax,label,score,geometry,area,x,y
587.26575,1.8112049,599.76025,26.773163,Tree,0.23144098,"POLYGON ((599.76025390625 1.8112049102783203, 599.76025390625 26.773162841796875, 587.2657470703125 26.773162841796875, 587.2657470703125 1.8112049102783203, 599.76025390625 1.8112049102783203))",311.88736,593.513,14.292184
3.329956,362.9342,81.83452,443.09937,Tree,0.23023963,"POLYGON ((81.83451843261719 362.9342041015625, 81.83451843261719 443.099365234375, 3.3299560546875 443.099365234375, 3.3299560546875 362.9342041015625, 81.83451843261719 362.9342041015625))",6293.331,42.582237,403.01678
323.32416,24.343592,359.85284,62.310463,Tree,0.2269105,"POLYGON ((359.85284423828125 24.343591690063477, 359.85284423828125 62.310462951660156, 323.32415771484375 62.310462951660156, 323.32415771484375 24.343591690063477, 359.85284423828125 24.343591690063477))",1386.88,341.5885,43.327026
335.21454,0.0,368.6797,12.312913,Tree,0.22479494,"POLYGON ((368.6796875 0, 368.6796875 12.312912940979004, 335.21453857421875 12.312912940979004, 335.21453857421875 0, 368.6796875 0))",412.05347,351.9471,6.1564565
0.0,198.65639,24.830132,249.60114,Tree,0.2148841,"POLYGON ((24.83013153076172 198.65638732910156, 24.83013153076172 249.60113525390625, 0 249.60113525390625, 0 198.65638732910156, 24.83013153076172 198.65638732910156))",1264.9648,12.415066,224.12875
0.0,295.2447,13.289723,338.548,Tree,0.21219756,"POLYGON ((13.28972339630127 295.24468994140625, 13.28972339630127 338.5480041503906, 0 338.5480041503906, 0 295.24468994140625, 13.28972339630127 295.24468994140625))",575.4891,6.6448617,316.89636
0.44300008,357.51202,11.475817,397.5937,Tree,0.14514191,"POLYGON ((11.47581672668457 357.51202392578125, 11.47581672668457 397.59368896484375, 0.443000078201294 397.59368896484375, 0.443000078201294 357.51202392578125, 11.47581672668457 357.51202392578125))",442.21368,5.9594088,377.55286
314.73035,57.76173,354.1424,99.24812,Tree,0.14384809,"POLYGON ((354.14239501953125 57.7617301940918, 354.14239501953125 99.24812316894531, 314.7303466796875 99.24812316894531, 314.7303466796875 57.7617301940918, 354.14239501953125 57.7617301940918))",1635.0637,334.43637,78.50493
30.919487,213.84744,70.414566,250.84457,Tree,0.12689032,"POLYGON ((70.41456604003906 213.84744262695312, 70.41456604003906 250.84457397460938, 30.91948699951172 250.84457397460938, 30.91948699951172 213.84744262695312, 70.41456604003906 213.84744262695312))",1461.2046,50.667027,232.34601
219.67699,45.43358,273.11618,95.99369,Tree,0.11343713,"POLYGON ((273.1161804199219 45.43357849121094, 273.1161804199219 95.99369049072266, 219.67698669433594 95.99369049072266, 219.67698669433594 45.43357849121094, 273.1161804199219 45.43357849121094))",2701.8916,246.39658,70.71364
300.19952,216.4631,353.17212,263.64273,Tree,0.110952616,"POLYGON ((353.172119140625 216.46310424804688, 353.172119140625 263.6427307128906, 300.19952392578125 263.6427307128906, 300.19952392578125 216.46310424804688, 353.172119140625 216.46310424804688))",2499.2273,326.68582,240.05292
