xmin,ymin,xmax,ymax,label,score,geometry,area,x,y
0.42935514,561.41296,11.47179,597.02594,Tree,0.2229766,"POLYGON ((11.471790313720703 561.4129638671875, 11.471790313720703 597.0259399414062, 0.4293551445007324 597.0259399414062, 0.4293551445007324 561.4129638671875, 11.471790313720703 561.4129638671875))",393.25397,5.9505725,579.2195
475.52887,506.2423,496.2066,527.5314,Tree,0.1333359,"POLYGON ((496.20660400390625 506.2423095703125, 496.20660400390625 527.5313720703125, 475.52886962890625 527.5313720703125, 475.52886962890625 506.2423095703125, 496.20660400390625 506.2423095703125))",440.2096,485.86774,516.88684
505.53506,492.74323,524.66583,514.26184,Tree,0.13084888,"POLYGON ((524.6658325195312 492.74322509765625, 524.6658325195312 514.2618408203125, 505.5350646972656 514.2618408203125, 505.5350646972656 492.74322509765625, 524.6658325195312 492.74322509765625))",411.66763,515.10046,503.50253
277.3532,588.8369,310.76886,599.5555,Tree,0.108091615,"POLYGON ((310.76885986328125 588.8369140625, 310.76885986328125 599.5554809570312, 277.35321044921875 599.5554809570312, 277.35321044921875 588.8369140625, 310.76885986328125 588.8369140625))",358.16788,294.06104,594.19617
439.30896,535.8154,459.66675,557.51373,Tree,0.10553303,"POLYGON ((459.666748046875 535.8154296875, 459.666748046875 557.5137329101562, 439.3089599609375 557.5137329101562, 439.3089599609375 535.8154296875, 459.666748046875 535.8154296875))",441.72946,449.48785,546.66455
