xmin,ymin,xmax,ymax,label,score,geometry,area,x,y
252.0,270.0,284.0,301.0,Tree,0.39783042669296265,"POLYGON ((284 270, 284 301, 252 301, 252 270, 284 270))",992.0,268.0,285.5
174.0,256.0,197.0,280.0,Tree,0.280796080827713,"POLYGON ((197 256, 197 280, 174 280, 174 256, 197 256))",552.0,185.5,268.0
577.0,589.0,599.0,599.0,Tree,0.18181665241718292,"POLYGON ((599 589, 599 599, 577 599, 577 589, 599 589))",220.0,588.0,594.0
588.0,149.0,600.0,188.0,Tree,0.16026099026203156,"POLYGON ((600 149, 600 188, 588 188, 588 149, 600 149))",468.0,594.0,168.5
345.0,0.0,374.0,12.0,Tree,0.1176256537437439,"POLYGON ((374 0, 374 12, 345 12, 345 0, 374 0))",348.0,359.5,6.0
53.0,591.0,115.0,599.0,Tree,0.11709810048341751,"POLYGON ((115 591, 115 599, 53 599, 53 591, 115 591))",496.0,84.0,595.0
358.0,3.0,436.0,69.0,Tree,0.11637191474437714,"POLYGON ((436 3, 436 69, 358 69, 358 3, 436 3))",5148.0,397.0,36.0
589.0,111.0,600.0,152.0,Tree,0.10962174087762833,"POLYGON ((600 111, 600 152, 589 152, 589 111, 600 111))",451.0,594.5,131.5
