xmin,ymin,xmax,ymax,label,score,geometry,area,x,y
202.014,535.117,227.98154,564.99603,Tree,0.33106312,"POLYGON ((227.98153686523438 535.1170043945312, 227.98153686523438 564.9960327148438, 202.01400756835938 564.9960327148438, 202.01400756835938 535.1170043945312, 227.98153686523438 535.1170043945312))",775.8845,214.99777,550.0565
254.4407,510.103,275.8604,533.6534,Tree,0.16847467,"POLYGON ((275.86041259765625 510.1029968261719, 275.86041259765625 533.6533813476562, 254.44070434570312 533.6533813476562, 254.44070434570312 510.1029968261719, 275.86041259765625 510.1029968261719))",504.44235,265.15057,521.8782
218.31487,504.69458,239.53546,524.1681,Tree,0.15851033,"POLYGON ((239.53546142578125 504.694580078125, 239.53546142578125 524.1680908203125, 218.3148651123047 524.1680908203125, 218.3148651123047 504.694580078125, 239.53546142578125 504.694580078125))",413.2395,228.92517,514.43134
374.089,506.8305,392.7331,528.81305,Tree,0.15311056,"POLYGON ((392.73309326171875 506.83050537109375, 392.73309326171875 528.8130493164062, 374.0889892578125 528.8130493164062, 374.0889892578125 506.83050537109375, 392.73309326171875 506.83050537109375))",409.84485,383.41104,517.8218
199.07693,569.12024,219.95206,593.42975,Tree,0.1495373,"POLYGON ((219.95205688476562 569.1202392578125, 219.95205688476562 593.4297485351562, 199.07693481445312 593.4297485351562, 199.07693481445312 569.1202392578125, 219.95205688476562 569.1202392578125))",507.46396,209.5145,581.275
