xmin,ymin,xmax,ymax,label,score,geometry,area,x,y
141.39319,95.268265,266.83527,210.1239,Tree,0.5007665,"POLYGON ((266.83526611328125 95.26826477050781, 266.83526611328125 210.1239013671875, 141.3931884765625 210.1239013671875, 141.3931884765625 95.26826477050781, 266.83526611328125 95.26826477050781))",14407.7295,204.11423,152.69608
29.612772,0.0,68.42915,10.35706,Tree,0.30525964,"POLYGON ((68.42915344238281 0, 68.42915344238281 10.357060432434082, 29.61277198791504 10.357060432434082, 29.61277198791504 0, 68.42915344238281 0))",402.02362,49.020966,5.17853
152.20047,350.16858,227.68582,430.7265,Tree,0.3013001,"POLYGON ((227.68582153320312 350.1685791015625, 227.68582153320312 430.72650146484375, 152.20046997070312 430.72650146484375, 152.20046997070312 350.1685791015625, 227.68582153320312 350.1685791015625))",6080.943,189.94315,390.44754
131.7581,435.5332,222.24005,522.99036,Tree,0.14397766,"POLYGON ((222.24005126953125 435.533203125, 222.24005126953125 522.9903564453125, 131.7581024169922 522.9903564453125, 131.7581024169922 435.533203125, 222.24005126953125 435.533203125))",7913.2935,176.99908,479.26178
43.349808,484.8202,115.4748,565.98694,Tree,0.12866597,"POLYGON ((115.47480010986328 484.8201904296875, 115.47480010986328 565.9869384765625, 43.34980773925781 565.9869384765625, 43.34980773925781 484.8201904296875, 115.47480010986328 484.8201904296875))",5854.151,79.41231,525.40356
587.83215,558.8075,599.20386,600.0,Tree,0.1285013,"POLYGON ((599.203857421875 558.8074951171875, 599.203857421875 600, 587.8321533203125 600, 587.8321533203125 558.8074951171875, 599.203857421875 558.8074951171875))",468.429,593.518,579.40375
499.2265,80.32207,553.33417,129.7237,Tree,0.11606238,"POLYGON ((553.3341674804688 80.32206726074219, 553.3341674804688 129.72369384765625, 499.22650146484375 129.72369384765625, 499.22650146484375 80.32206726074219, 553.3341674804688 80.32206726074219))",2673.0066,526.28033,105.02288
